frame_idx,PSNR,SSIM,LPIPS
0,24.737443923950195,0.9843876361846924,
1,24.739009857177734,0.9843980669975281,
2,24.739185333251953,0.9844015836715698,
3,24.738950729370117,0.9844036102294922,
4,24.737823486328125,0.984400749206543,
5,24.635648727416992,0.9841322898864746,
6,24.733760833740234,0.9843815565109253,
7,24.731531143188477,0.9843707084655762,
8,24.729978561401367,0.9843639135360718,
9,24.728479385375977,0.9843568801879883,
10,24.727924346923828,0.9843548536300659,
11,24.7274112701416,0.9843534231185913,
12,24.7274169921875,0.9843551516532898,
13,24.727266311645508,0.9843565821647644,
14,24.72712516784668,0.9843570590019226,
15,24.726552963256836,0.9843543767929077,
16,24.725826263427734,0.9843509197235107,
17,24.724828720092773,0.9843475818634033,
18,24.724124908447266,0.9843459129333496,
19,24.72321319580078,0.9843425750732422,
20,24.72252655029297,0.9843387007713318,
21,24.72211456298828,0.9843368530273438,
22,24.722204208374023,0.9843384027481079,
23,24.722726821899414,0.9843426942825317,
24,24.723346710205078,0.9843471050262451,
25,24.724239349365234,0.9843524694442749,
26,24.724769592285156,0.9843558073043823,
27,24.725229263305664,0.9843591451644897,
28,24.725479125976562,0.9843613505363464,
29,24.725418090820312,0.9843618273735046,
30,24.725324630737305,0.9843622446060181,
31,24.724748611450195,0.9843597412109375,
32,24.72427749633789,0.9843579530715942,
33,24.723506927490234,0.9843541979789734,
34,24.722999572753906,0.9843510389328003,
35,24.722373962402344,0.9843456149101257,
36,24.722156524658203,0.9843419790267944,
37,24.7220516204834,0.9843387603759766,
38,24.722591400146484,0.9843411445617676,
39,24.723424911499023,0.9843472242355347,
40,24.72472381591797,0.9843553304672241,
41,24.725475311279297,0.9843586683273315,
42,24.726057052612305,0.9843597412109375,
43,24.72661781311035,0.9843592643737793,
44,24.72711944580078,0.9843806028366089,
45,24.72804832458496,0.9847431182861328,
46,24.728919982910156,0.9855596423149109,
47,24.765871047973633,0.9859277606010437,
48,24.727821350097656,0.9849736094474792,
49,24.726953506469727,0.9850025177001953,
50,24.7264404296875,0.9855469465255737,
51,24.7264404296875,0.9849478006362915,
52,24.726390838623047,0.9845916628837585,
53,24.726181030273438,0.9844121932983398,
54,24.726482391357422,0.9843527674674988,
55,24.626689910888672,0.9840890765190125,
56,24.727615356445312,0.9843548536300659,
57,24.728214263916016,0.9843583106994629,
58,24.728891372680664,0.9843610525131226,
59,24.72916030883789,0.9843610525131226,
60,24.729196548461914,0.9843587279319763,
61,24.729082107543945,0.9843558669090271,
62,24.728906631469727,0.9843530058860779,
63,24.728689193725586,0.9843503832817078,
64,24.728391647338867,0.9843475222587585,
65,24.728065490722656,0.9843451380729675,
66,24.727672576904297,0.9843422770500183,
67,24.727231979370117,0.9843389391899109,
68,24.726593017578125,0.9843339920043945,
69,24.725868225097656,0.9843279123306274,
70,24.724695205688477,0.9843196868896484,
71,24.723896026611328,0.9843134880065918,
72,24.723018646240234,0.9843072295188904,
73,24.722370147705078,0.9843010902404785,
74,24.721832275390625,0.984295129776001,
75,24.72194480895996,0.9842923879623413,
76,24.722610473632812,0.9842914938926697,
77,24.723756790161133,0.9842910170555115,
78,24.72569465637207,0.9842900633811951,
79,24.72854995727539,0.9842902421951294,
80,24.734981536865234,0.9843049049377441,
81,24.742877960205078,0.9843324422836304,
82,24.75489616394043,0.9843853712081909,
83,24.766754150390625,0.9844365119934082,
84,24.779403686523438,0.9844887256622314,
85,24.789018630981445,0.984519362449646,
86,24.79477882385254,0.9845355749130249,
87,24.796659469604492,0.984535813331604,
88,24.790817260742188,0.9845017790794373,
89,24.78104591369629,0.9844388961791992,
